NULL,,"- Dondurulmuş:",
NULL,"0203.21","-- Karkas ve yarım karkas:",
NULL,"0203.21.10.00.00","--- Evcil domuz eti","Kg"
NULL,"0203.21.90.00.00","--- Diğerleri","Kg"
NULL,"0203.22","-- But,kol ve bunların parçaları (kemikli):",
NULL,,"--- Evcil domuz eti:",
NULL,"0203.22.11.00.00","---- But ve but parçaları","Kg"
NULL,"0203.22.19.00.00","---- Kol ve kol parçaları","Kg"
NULL,"0203.22.90.00.00","--- Diğerleri","Kg"
NULL,"0203.29","-- Diğerleri:",
NULL,,"--- Evcil domuz eti:",
NULL,"0203.29.11.00.00","---- Ön kısım ve bunların parçaları","Kg"
NULL,"0203.29.13.00.00","---- Bel kısmı ve bunların parçaları","Kg"
NULL,"0203.29.15.00.00","---- Karın ve karın parçaları","Kg"
NULL,,"---- Diğerleri:",
NULL,"0203.29.55.00.00","----- Kemiksiz","Kg"
NULL,"0203.29.59.00.00","----- Diğerleri","Kg"
NULL,"0203.29.90.00.00","--- Diğerleri","Kg"
NULL,"0204","Koyun ve keçi etleri (taze,soğutulmuş veya dondurulmuş):",
NULL,"0204.10.00.00.00","- Kuzuların karkas ve yarım karkasları (taze veya soğutulmuş)","Kg"
NULL,,"- Diğer koyun etleri (taze veya soğutulmuş):",
NULL,"0204.21.00.00.00","-- Karkas ve yarım karkas","Kg"
NULL,"0204.22","-- Diğer kemikli parçalar:",
NULL,"0204.22.10.00.00","--- Kısa ön çeyrekler","Kg"
NULL,"0204.22.30.00.00","--- Fileto veya sağrı (tam veya yarım)","Kg"
NULL,"0204.22.50.00.00","--- But veya yarım but","Kg"
NULL,"0204.22.90.00.00","--- Diğerleri","Kg"
NULL,"0204.23.00.00.00","-- Kemiksiz","Kg"
NULL,"0204.30.00.00.00","- Kuzu eti (karkas ve yarım karkas) (dondurulmuş)","Kg"
NULL,,"- Diğer koyun etleri (dondurulmuş):",
NULL,"0204.41.00.00.00","-- Karkas ve yarım karkas","Kg"
NULL,"0204.42","-- Kemikli diğer parçalar:",
NULL,"0204.42.10.00.00","--- Kısa ön çeyrekler","Kg"
NULL,"0204.42.30.00.00","--- Fileto veya sağrı (tam veya yarım)","Kg"
NULL,"0204.42.50.00.00","--- But veya yarım but","Kg"
NULL,"0204.42.90.00.00","--- Diğerleri","Kg"
NULL,"0204.43","-- Kemiksiz:",
NULL,"0204.43.10.00.00","--- Kuzu eti","Kg"
NULL,"0204.43.90.00.00","--- Diğerleri","Kg"
NULL,"0204.50","- Keçi eti:",
NULL,,"-- Taze veya soğutulmuş:",
NULL,"0204.50.11.00.00","--- Karkas ve yarım karkas","Kg"
NULL,"0204.50.13.00.00","--- Kısa ön çeyrekler","Kg"
NULL,"0204.50.15.00.00","--- Fileto veya sağrı (tam veya yarım)","Kg"
NULL,"0204.50.19.00.00","--- But veya yarım but","Kg"
NULL,,"--- Diğerleri:",
NULL,"0204.50.31.00.00","---- Kemikli parçalar","Kg"
NULL,"0204.50.39.00.00","---- Kemiksiz parçalar","Kg"
NULL,,"-- Dondurulmuş:",
NULL,"0204.50.51.00.00","--- Karkas ve yarım karkas","Kg"
NULL,"0204.50.53.00.00","--- Kısa ön çeyrekler","Kg"
NULL,"0204.50.55.00.00","--- Fileto veya sağrı (tam veya yarım)","Kg"
NULL,"0204.50.59.00.00","--- But veya yarım but","Kg"
NULL,,"--- Diğerleri:",
NULL,"0204.50.71.00.00","---- Kemikli parçalar","Kg"
NULL,"0204.50.79.00.00","---- Kemiksiz parçalar","Kg"
NULL,"0205.00","At,eşek,katır veya bardo etleri (taze,soğutulmuş veya dondurulmuş):",
NULL,,"- At eti:",
NULL,"0205.00.11.00.00","-- Taze veya soğutulmuş","Kg"
NULL,"0205.00.19.00.00","-- Dondurulmuş","Kg"
NULL,"0205.00.90.00.00","- Eşek,katır ve bardo etleri","Kg"
NULL,"0206","Sığır,domuz,koyun,keçi,at,eşek,katır veya bardoların",
NULL,,"yenilen sakatatı (taze,soğutulmuş veya dondurulmuş):",
NULL,"0206.10","- Sığır sakatatı (taze veya soğutulmuş):",
NULL,"0206.10.10.00.00","-- Eczacılık ürünlerinin imaline mahsus olanlar","Kg"
NULL,,"-- Diğerleri:",
NULL,"0206.10.91.00.00","--- Karaciğerler","Kg"
NULL,"0206.10.95.00.00","--- Kalın ve ince etek","Kg"
NULL,"0206.10.99.00.00","--- Diğerleri","Kg"
NULL,,"- Sığır sakatatı (dondurulmuş):",
NULL,"0206.21.00.00.00","-- Diller","Kg"
NULL,"0206.22.00.00.00","-- Karaciğerler:","Kg"
NULL,"0206.29","-- Diğerleri:",
NULL,"0206.29.10.00.00","--- Eczacılık ürünlerinin imaline mahsus olanlar","Kg"
NULL,,"--- Diğerleri:",
NULL,"0206.29.91.00.00","---- Kalın ve ince etek","Kg"
NULL,"0206.29.99.00.00","---- Diğerleri","Kg"
NULL,"0206.30","- Domuz sakatatı (taze veya soğutulmuş):","Kg"
NULL,,"-- Evcil domuz sakatatı:",
NULL,"0206.30.20.00.00","--- Karaciğerler","Kg"
NULL,"0206.30.30.00.00","--- Diğerleri","Kg"
NULL,"0206.30.80.00.00","-- Diğerleri","Kg"
NULL,,"- Domuz sakatatı (dondurulmuş):",
NULL,"0206.41","-- Karaciğerler:",
NULL,"0206.41.20.00.00","--- Evcil domuz karaciğerleri","Kg"
NULL,"0206.41.80.00.00","--- Diğerleri","Kg"
NULL,"0206.49","-- Diğerleri:",
NULL,"0206.49.20.00.00","--- Evcil domuz sakatatı","Kg"
NULL,"0206.49.80.00.00","--- Diğerleri","Kg"
NULL,"0206.80","- Diğerleri (taze veya soğutulmuş):",
NULL,"0206.80.10.00.00","-- Eczacılık ürünlerinin imaline mahsus olanlar","Kg"
NULL,,"-- Diğerleri:",
NULL,"0206.80.91.00.00","--- At,eşek,katır ve bardo sakatatı","Kg"
NULL,,"--- Koyun ve keçi sakatatı",
NULL,"0206.80.99.00.11","---- Koyun ve keçilerin karaciğerleri","Kg"
NULL,"0206.80.99.00.12","---- Koyun kuyruğu","Kg"
NULL,"0206.80.99.00.19","---- Koyun ve keçilerin diğer sakatatı","Kg"
NULL,"0206.90","- Diğerleri (dondurulmuş):",
NULL,"0206.90.10.00.00","-- Eczacılık ürünlerinin imaline mahsus olanlar","Kg"
NULL,,"-- Diğerleri:",
NULL,"0206.90.91.00.00","--- At,eşek,katır ve bardo sakatatı","Kg"
NULL,,"--- Koyun ve keçi sakatatı",
NULL,"0206.90.99.00.11","---- Koyun ve keçilerin karaciğerleri","Kg"
NULL,"0206.90.99.00.12","---- Koyun kuyruğu","Kg"
NULL,"0206.90.99.00.19","---- Koyun ve keçilerin diğer sakatatı","Kg"
NULL,"0207","01.05 Pozisyonuna giren kümes hayvanlarının etleri ve yenilen",
NULL,,"sakatatı (taze,soğutulmuş veya dondurulmuş):",
NULL,,"- Horoz ve tavuklar (""Gallus domesticus"" türü):",
NULL,"0207.11","-- Parçalanmamış (taze veya soğutulmuş):",
NULL,"0207.11.10.00.00","--- Tüyleri yolunmuş bağırsakları çıkarılmış,başlı ve ayaklı %83'lük","Kg"
NULL,,"denilen tavuklar",
